id,name,label,homepage,stories_per_week,primary_language,name_clean
19194,billboard.com,Billboard,http://www.billboard.com,371,en,billboard
19317,mongabay.com,Mongabay,https://news.mongabay.com/,27,en,mongabay
19334,breitbart.com,Breitbart,http://www.breitbart.com,667,,bb
19466,maxpreps.com,maxpreps.com,http://www.maxpreps.com,-1,en,maxpreps
25915,postandcourier.com,postandcourier.com,http://www.postandcourier.com,0,,postandcourier
19643,slate.com,Slate.com,http://www.slate.com,103,en,slate
19763,townhall.com,townhall.com,http://townhall.com,86,en,townhall
19854,rollcall.com,Roll Call,http://www.rollcall.com,58,en,rollcall
20060,bizjournals.com,bizjournals.com,https://www.bizjournals.com,-1,en,bizjournals
20120,nj.com,nj.com,http://www.nj.com,1677,en,nj
20357,cnsnews.com,CNS News,http://cnsnews.com,2,en,cnsnews
20410,livescience.com,livescience.com,http://www.livescience.com,55,en,livescience
20639,propublica.org,ProPublica,http://www.propublica.org,12,en,propublica
20815,pitchfork.com,pitchfork.com,http://www.pitchfork.com,126,en,pitchfork
20982,vanityfair.com,Vanity Fair,http://www.vanityfair.com,121,en,vanityfair
21038,c-span.org,CSPAN,http://www.c-span.org,-1,en,c-span
21091,observer.com,observer.com,http://www.observer.com,55,en,observer
21270,stripes.com,Stars and Stripes,http://www.stripes.com,103,en,stripes
21542,theweek.com,The Week,http://theweek.com,206,en,theweek
21619,thestreet.com,The Street,http://www.thestreet.com,261,en,thestreet
21919,spectator.org,American Spectator,http://spectator.org,48,en,spectator
1723,pri.org,PRI,http://www.pri.org,17,en,pri
22041,benzinga.com,Benzinga,http://www.benzinga.com,126,en,benzinga
22088,theblaze.com,Blaze,http://www.theblaze.com,233,,theblaze
22116,techradar.com,techradar.com,http://www.techradar.com,419,,techradar
22332,truth-out.org,Truthout,http://www.truth-out.org,47,en,truth-out
22383,kapitall.com,Kapitall Wire,http://wire.kapitall.com,-1,en,kapitall
22389,deadspin.com,Deadspin,http://deadspin.com,209,en,deadspin
33,mysanantonio.com,San Antonio Express News,http://www.mysanantonio.com/,273,en,mysanantonio
17,ajc.com,The Atlanta Journal Constitution,http://www.ajc.com/,0,en,ajc
23290,ncregister.com,National Catholic Register,http://www.ncregister.com,91,en,ncregister
